Team,Result,For,Aga,Diff,HTf,HTa,,Opposition,Ground,Match Date
Wales,lost,13,22,-9,0,19,,v France,Colombes,27-Mar-65
Wales,won,11,6,5,3,3,,v England,Twickenham,15-Jan-66
Wales,won,8,3,5,3,0,,v Scotland,Cardiff,05-Feb-66
Wales,lost,6,9,-3,3,6,,v Ireland,Lansdowne Road,12-Mar-66
Wales,won,9,8,1,6,8,,v France,Cardiff,26-Mar-66
Wales,lost,11,14,-3,6,9,,v Australia,Cardiff,03-Dec-66
Wales,lost,5,11,-6,5,0,,v Scotland,Murrayfield,04-Feb-67
Wales,lost,0,3,-3,0,3,,v Ireland,Cardiff,11-Mar-67
Wales,lost,14,20,-6,6,9,,v France,Colombes,01-Apr-67
Wales,won,34,21,13,14,6,,v England,Cardiff,15-Apr-67
Wales,lost,6,13,-7,0,8,,v New Zealand,Cardiff,11-Nov-67
Wales,draw,11,11,0,3,8,,v England,Twickenham,20-Jan-68
Wales,won,5,0,5,5,0,,v Scotland,Cardiff,03-Feb-68
Wales,lost,6,9,-3,3,6,,v Ireland,Lansdowne Road,09-Mar-68
Wales,lost,9,14,-5,9,3,,v France,Cardiff,23-Mar-68
Wales,won,17,3,14,6,0,,v Scotland,Murrayfield,01-Feb-69
Wales,won,24,11,13,8,6,,v Ireland,Cardiff,08-Mar-69
Wales,draw,8,8,0,8,0,,v France,Colombes,22-Mar-69
Wales,won,30,9,21,3,3,,v England,Cardiff,12-Apr-69
Wales,lost,0,19,-19,0,13,,v New Zealand,Christchurch,31-May-69
Wales,lost,12,33,-21,6,14,,v New Zealand,Auckland,14-Jun-69
Wales,won,19,16,3,0,11,,v Australia,Sydney,21-Jun-69
Wales,draw,6,6,0,3,3,,v South Africa,Cardiff,24-Jan-70
Wales,won,18,9,9,5,9,,v Scotland,Cardiff,07-Feb-70
Wales,won,17,13,4,3,13,,v England,Twickenham,28-Feb-70
Wales,lost,0,14,-14,-,-,,v Ireland,Lansdowne Road,14-Mar-70
Wales,won,11,6,5,6,3,,v France,Cardiff,04-Apr-70
Wales,won,22,6,16,16,3,,v England,Cardiff,16-Jan-71
Wales,won,19,18,1,8,6,,v Scotland,Murrayfield,06-Feb-71
Wales,won,23,9,14,9,6,,v Ireland,Cardiff,13-Mar-71
Wales,won,9,5,4,3,5,,v France,Colombes,27-Mar-71
Wales,won,12,3,9,6,3,,v England,Twickenham,15-Jan-72
Wales,won,35,12,23,10,6,,v Scotland,Cardiff,05-Feb-72
Wales,won,20,6,14,9,6,,v France,Cardiff,25-Mar-72
Wales,lost,16,19,-3,3,13,,v New Zealand,Cardiff,02-Dec-72
Wales,won,25,9,16,12,6,,v England,Cardiff,20-Jan-73
Wales,lost,9,10,-1,6,10,,v Scotland,Murrayfield,03-Feb-73
Wales,won,16,12,4,6,3,,v Ireland,Cardiff,10-Mar-73
Wales,lost,3,12,-9,0,9,,v France,Parc des Princes,24-Mar-73
Wales,won,24,0,24,12,0,,v Australia,Cardiff,10-Nov-73
Wales,won,6,0,6,6,0,,v Scotland,Cardiff,19-Jan-74
Wales,draw,9,9,0,6,0,,v Ireland,Lansdowne Road,02-Feb-74
Wales,draw,16,16,0,13,13,,v France,Cardiff,16-Feb-74
Wales,lost,12,16,-4,9,7,,v England,Twickenham,16-Mar-74
Wales,won,25,10,15,17,7,,v France,Parc des Princes,18-Jan-75
Wales,won,20,4,16,16,0,,v England,Cardiff,15-Feb-75
Wales,lost,10,12,-2,6,9,,v Scotland,Murrayfield,01-Mar-75
Wales,won,32,4,28,7,0,,v Ireland,Cardiff,15-Mar-75
Wales,won,28,3,25,9,0,,v Australia,Cardiff,20-Dec-75
Wales,won,21,9,12,15,6,,v England,Twickenham,17-Jan-76
Wales,won,28,6,22,12,6,,v Scotland,Cardiff,07-Feb-76
Wales,won,34,9,25,10,9,,v Ireland,Lansdowne Road,21-Feb-76
Wales,won,19,13,6,13,9,,v France,Cardiff,06-Mar-76
Wales,won,25,9,16,0,6,,v Ireland,Cardiff,15-Jan-77
Wales,lost,9,16,-7,3,3,,v France,Parc des Princes,05-Feb-77
Wales,won,14,9,5,7,6,,v England,Cardiff,05-Mar-77
Wales,won,18,9,9,3,3,,v Scotland,Murrayfield,19-Mar-77
Wales,won,9,6,3,3,6,,v England,Twickenham,04-Feb-78
Wales,won,22,14,8,8,7,,v Scotland,Cardiff,18-Feb-78
Wales,won,20,16,4,13,6,,v Ireland,Lansdowne Road,04-Mar-78
Wales,won,16,7,9,13,7,,v France,Cardiff,18-Mar-78
Wales,lost,8,18,-10,4,9,,v Australia,Brisbane,11-Jun-78
Wales,lost,17,19,-2,6,9,,v Australia,Sydney,17-Jun-78
Wales,lost,12,13,-1,12,7,,v New Zealand,Cardiff,11-Nov-78
Wales,won,19,13,6,6,13,,v Scotland,Murrayfield,20-Jan-79
Wales,won,24,21,3,12,9,,v Ireland,Cardiff,03-Feb-79
Wales,lost,13,14,-1,7,7,,v France,Parc des Princes,17-Feb-79
Wales,won,27,3,24,7,3,,v England,Cardiff,17-Mar-79
Wales,won,18,9,9,4,3,,v France,Cardiff,19-Jan-80
Wales,lost,8,9,-1,4,3,,v England,Twickenham,16-Feb-80
Wales,won,17,6,11,7,0,,v Scotland,Cardiff,01-Mar-80
Wales,lost,7,21,-14,3,6,,v Ireland,Lansdowne Road,15-Mar-80
Wales,lost,3,23,-20,0,11,,v New Zealand,Cardiff,01-Nov-80
Wales,won,21,19,2,12,10,,v England,Cardiff,17-Jan-81
Wales,lost,6,15,-9,6,9,,v Scotland,Murrayfield,07-Feb-81
Wales,won,9,8,1,3,8,,v Ireland,Cardiff,21-Feb-81
Wales,lost,15,19,-4,9,9,,v France,Parc des Princes,07-Mar-81
Wales,won,18,13,5,6,7,,v Australia,Cardiff,05-Dec-81
Wales,lost,12,20,-8,9,8,,v Ireland,Lansdowne Road,23-Jan-82
Wales,won,22,12,10,6,9,,v France,Cardiff,06-Feb-82
Wales,lost,7,17,-10,7,14,,v England,Twickenham,06-Mar-82
Wales,lost,18,34,-16,9,13,,v Scotland,Cardiff,20-Mar-82
Wales,draw,13,13,0,6,7,,v England,Cardiff,05-Feb-83
Wales,won,19,15,4,15,6,,v Scotland,Murrayfield,19-Feb-83
Wales,won,23,9,14,12,6,,v Ireland,Cardiff,05-Mar-83
Wales,lost,9,16,-7,6,6,,v France,Parc des Princes,19-Mar-83
Wales,lost,6,24,-18,3,7,,v Romania,Bucharest,12-Nov-83
Wales,lost,9,15,-6,3,6,,v Scotland,Cardiff,21-Jan-84
Wales,won,18,9,9,9,3,,v Ireland,Lansdowne Road,04-Feb-84
Wales,lost,16,21,-5,3,12,,v France,Cardiff,18-Feb-84
Wales,won,24,15,9,6,9,,v England,Twickenham,17-Mar-84
Wales,lost,9,28,-19,3,13,,v Australia,Cardiff,24-Nov-84
Wales,won,25,21,4,9,9,,v Scotland,Murrayfield,02-Mar-85
Wales,lost,9,21,-12,9,12,,v Ireland,Cardiff,16-Mar-85
Wales,lost,3,14,-11,3,7,,v France,Parc des Princes,30-Mar-85
Wales,won,24,15,9,12,12,,v England,Cardiff,20-Apr-85
Wales,won,40,3,37,16,3,,v Fiji,Cardiff,09-Nov-85
Wales,lost,18,21,-3,9,12,,v England,Twickenham,18-Jan-86
Wales,won,22,15,7,9,8,,v Scotland,Cardiff,01-Feb-86
Wales,won,19,12,7,4,12,,v Ireland,Lansdowne Road,15-Feb-86
Wales,lost,15,23,-8,9,11,,v France,Cardiff,01-Mar-86
Wales,won,22,15,7,10,3,,v Fiji,Suva,31-May-86
Wales,won,15,7,8,6,3,,v Tonga,Nuku A'lofa,12-Jun-86
Wales,won,32,14,18,13,14,,v Samoa,Apia,14-Jun-86
Wales,lost,9,16,-7,9,3,,v France,Parc des Princes,07-Feb-87
Wales,won,19,12,7,12,9,,v England,Cardiff,07-Mar-87
Wales,lost,15,21,-6,3,12,,v Scotland,Murrayfield,21-Mar-87
Wales,lost,11,15,-4,8,6,,v Ireland,Cardiff,04-Apr-87
Wales,won,13,6,7,0,6,,v Ireland,Wellington,25-May-87
Wales,won,29,16,13,17,7,,v Tonga,Palmerston North,29-May-87
Wales,won,40,9,31,6,9,,v Canada,Invercargill,03-Jun-87
Wales,won,16,3,13,6,0,,v England,Brisbane,08-Jun-87
Wales,lost,6,49,-43,0,27,,v New Zealand,Brisbane,14-Jun-87
Wales,won,22,21,1,13,15,,v Australia,Rotorua,18-Jun-87
